Pozisyon;IlanMetni
?? Analisti�;"BEKLEN?LEN YETK?NL?KLER

�niversitelerin Bilgisayar, Yaz?l?m, End�stri veya Matematik M�hendisli?i b�l�mlerinden lisans mezunu olan,
Alan?nda 5+ y?l deneyimli
Bankalar?n kartl? �deme sistemleri ekiplerinde g�rev alm??,
Takas, Chargeback veya Harcama ?tiraz s�re�lerinde deneyimli,
Analiz, tasar?m ve test s�re�lerini �ok iyi bilen,
Altyap? d�n�?�m s�re�lerinde g�rev alm??,
?leri d�zeyde SQL yetkinli?ine sahip,
Yeni teknolojileri ara?t?ran ve kullanmaya istekli,
Sorun ve problem ��zme becerileri kuvvetli"
Business Analyst;"What we are looking for



Bachelor�s degree in engineering (Computer Science, Industrial Engineering, Business Information Systems, or related fields),
4-5 years of experience in a commercial, business analyst, or system analyst roles,
E-Commerce, Marketing, Sales, After-Sales, and/or Core system implementation experience is preferred.
Experience working with project management methodologies (Agile, Scrum, Kanban) and tools (e.g.,SQL, Jira, Confluence),
Experience with requirements elicitation techniques (Interviews, questionnaires, user observation, workshops, role-playing, prototypes),
Experience imagining, designing, and collaborating on implementing market-leading products across one or more technologies and business sectors,
Excellent communication and facilitation skills,
Experience with design thinking methodologies."
IT Business Analyst;"Project Analysis & Documentation

Identify and analyze requirements for projects prioritized by the Project Prioritization Committee (PPC).
Synthesize information from various sources and conduct detailed analysis.
Prepare, publish, and manage all necessary project documentation, including analysis reports, in accordance with project management processes.
Define the scope of solutions and manage scope changes and request tracking when needed.

Process & System Improvement

Investigate opportunities for improvement in existing processes and systems.
Propose new process/system designs that contribute to Ayvens global strategies.
Work on existing or sample developments to gain insights and enhance solution proposals.
Incorporate visual analysis tools (e.g., diagrams, prototypes, simulations) with a focus on MVP (Minimum Viable Product).

Stakeholder & Communication Management

Identify relevant project stakeholders accurately.
Plan and ensure complete and effective communication with all stakeholders.
Support the dissemination of IT strategies and ensure compliance with IT policies and procedures.

Testing & Validation

Conduct testing activities to verify that delivered solutions meet defined requirements.
Coordinate User Acceptance Testing (UAT) and manage test processes.
Prepare and document detailed test cases during the project testing phase.

Support & Maintenance

Investigate issues in existing system applications and collaborate with software teams to resolve them.
Perform maintenance and support activities in coordination with development teams.
Support the management of authorization processes for applications used by Ayvens Turkey via SecurityNet.

Security & Compliance

Adopt and act in accordance with the company�s Information Security Policy.
Fulfill responsibilities within the framework of this policy.

Agile Project Participation

Actively participate in Agile ceremonies such as daily stand-ups, sprint planning, retrospectives, and specification reviews.
Organize Agile meetings and contribute to effective backlog management by prioritizing new tasks and suggesting new analysis techniques and technologies within the SDLC.

Continuous Improvement

Take responsibility for process improvement actions and achieve process targets.
Conduct technical investigations at the database level as part of problem-solving and research activities.

Qualifications, Skills, And Experience

Education: Bachelor�s degree from a recognized university.
Experience: Minimum of 3 years of professional experience in Business Analysis and Project Management.
Language Skills: Advanced proficiency in English (written and spoken).

Core Competencies

Strong command of business analysis processes, methodologies, and techniques (e.g., use cases, data analysis, process analysis, requirements management, stakeholder analysis).
Proficiency in MS Office applications.
Solution-oriented mindset with a proactive approach to problem-solving.
Strong analytical thinking and complex problem-solving skills.
Ability to work independently as well as collaboratively within a team.
Advanced verbal and written communication skills.
Openness to learning, change, and continuous improvement.
Strong interpersonal and negotiation skills."
Business Analyst;"Main responsibilities will include:

Develop reporting and metrics for analysis of scenario results
Perform detailed analysis on assigned projects, recommend potential business solutions and assist with implementation
Prepare summarized and structured reports for ongoing projects
Work with various departments to help grow and increase efficiency
Strong Excel skills are required
Strong knowledge of Jira Confluence, G-Sheets and Postman
Experience with Power BI is a plus
Delivering tasks appropriately on time
Working closely with other team to them problem solve and discussing


To be successful in this role, you need to have:

A graduate of relevant departments
Minimum 4-5 years of experience about Businnes Analyst position
Expect strong proficiency in conducting technical analysis
Strong sense of analytical thinking, detail-oriented and eager to learn
Positive attitude with the ability to adjust in a dynamic environment"
Business�Analyst;"�niversitelerin End�stri M�hendisli?i, Bilgisayar M�hendisli?i, Elektrik-Elektronik M�hendisli?i veya benzeri b�l�mlerinden mezun,
Yaz?l?m gereksinimlerinin belirlenmesi, s�re� analizi, dok�mantasyon, test senaryolar?n?n geli?tirilmesi, test ve kabul s�re�lerinin y�r�t�lmesi ve koordinasyonu konular?nda deneyimli,
?? ak??? analiz ara�lar?n? kullanabilen, analitik d�?�nme ve problem ��zme becerilerine sahip, ara?t?rmac? ve yenilik�i,
Tercihen SQL, API & servis testleri (SOAP, Postman), entegrasyon, y�k ve stres testleri konusunda deneyim sahibi,
Tercihen Jira, Confluence gibi proje y�netim ara�lar?n? kullanm??,
Tercihen Yaz?l?m Geli?tirme Ya?am D�ng�s� (SDLC) s�re�lerine h�kim, �evik y�ntemler (Scrum/Kanban) konusunda deneyimli,
Tercihen elektrik da??t?m/perakende sekt�r�nde �al??m??,
?yi seviyede MS Office uygulamalar? (Word, Excel, Visio, PowerPoint vb.) kullanabilen,
?? birimleri ve teknik ekipler aras?nda koordinasyonu sa?layabilecek ileti?im becerisine sahip,
D�zenli raporlama yapabilen ve dok�mantasyona �nem veren,
Tak?m �al??mas?na yatk?n, g��l� ileti?im becerilerine sahip, sorumluluk bilinci y�ksek, ikna kabiliyeti geli?mi?,
Alan?yla ilgili g�ncel geli?meleri ve mevzuat de?i?ikliklerini takip eden.Yaz?l?m projeleri kapsam?nda i? ihtiya�lar?n?n analiz edilerek gereksinimlerin belirlenmesi ve dok�mantasyonunun sa?lanmas?,
S�re� analizlerinin ger�ekle?tirilmesi, mevcut s�re�lerin iyile?tirilmesine y�nelik �nerilerin geli?tirilmesi,
Test senaryolar?n?n olu?turulmas?, manuel ve otomasyon testlerinin planlanmas? ve y�r�t�lmesi,
""Yaz?l?m test"" ve kabul s�re�lerinin koordinasyonu, sonu�lar?n raporlanmas? ve takip edilmesi,
Yaz?l?m geli?tirme s�recinde i? birimleri ile teknik ekipler aras?nda k�pr� g�revi �stlenerek gereksinimlerin do?ru anla??lmas?n? sa?lamak,
Gereksinim de?i?ikliklerini takip etmek, etki analizlerini ger�ekle?tirmek ve ilgili payda?larla ileti?imde kalmak,
Tercihen �evik proje y�netim metodolojilerine (""Scrum""/""Kanban"") uygun olarak sprint planlama, takip ve dok�mantasyon faaliyetlerine destek vermek,
S�re�lerde ortaya �?kan sorunlara y�nelik k�k neden analizleri yaparak ��z�m �nerileri sunmak,
Test s�re�lerinde; ""SQL sorgular?"", ""API (SOAP/REST) testleri"", ""entegrasyon"", y�k ve stres testleri gibi teknik faaliyetlere katk? sa?lamak,
Test ve analiz sonu�lar?n? d�zenli olarak raporlamak, kalite standartlar?na uygunluk konusunda ekiplere geri bildirim sa?lamak."
Business�Analyst;"Bachelor�s degree on Industrial Engineering, Computer Engineering, Mathematical Engineering etc. or equivalent business experience required
2 - 5 years of professional work experience as Business Analyst
Strong Business Analysis skills (Requirement Management, Scope & MVP Management, Flow Design, Customer Centric Vision etc.)
Strong ability to build algorithms
Experience with Visio preferred
Excellent SQL skills and hands on experience
Knowledge about test processes and methodologies
Experience with Test Automation Tools (Preferably HP UFT and/or Selenium) preferred will be plus
Strong API / Web Service Platforms and Tools Experience (Preferably SoapUI and Postman)
Experience with Agile methodologies especially in Scrum methodology."
Business Analyst ;"BU POZ?SYONDA EN �NEM VERD???M?Z YETK?NL?KLER VE DENEY?MLER



SAP BPC ya da SAP BW platformunda sistem analisti ya da dan??man rol�nde proje, kurulum ve uyarlama konusunda en az 2 y?l tecr�beye sahip,
Gereksinim analizi, tasar?m, geli?tirme, test ve entegrasyon dahil olmak �zere t�m yaz?l?m ya?am d�ng�s� s�re�lerine h�kim,
?? gereksinimlerini analiz ederek yaz?l?m ��z�mlerine d�n�?t�rme ve raporlama s�re�lerini u�tan uca kurgulama tecr�besine sahip,
Agile metodolojileri (Scrum, Kanban) ile proje y�netimi, tak?m i�i i? birli?i ve s�re� iyile?tirme deneyimine sahip.




SENDEN NELER BEKL?YORUZ?



ASELSAN�?n b�t�e s�re�lerinin u�tan uca y�netiminde kullan?lan IT uygulamalar?ndan, SAP BPC ve FM mod�llerindeki geli?tirme ve idame faaliyetlerinden sorumlu olmak,
?lgili ASELSAN i? birimlerinin ihtiyac?n? anlayarak sistem gereksinimlerini belirlemek, alt sistem ve bile?enleri tan?mlamak,
Sistemler ve bile?enler aras? entegrasyon ve alt yap? ihtiya�lar?n? belirlemek, teknik tasar?m dok�manlar?n? haz?rlamak,
?htiyac? kar??lamak �zere gerekli s�re�lerin ve sistemlerin kavramsal ve teknik tasar?m?nda ve geli?tirmesinde g�rev almak,
Kurumun b�t�e haz?rlama ve uygulama s�re�lerini analiz ederek, geli?tirme ve optimizasyon f?rsatlar?n? belirlemek,
?? s�re�lerinde ya?anan de?i?ikliklerden do?an geli?tirme ihtiya�lar?n? belirleyip, mevcut BW, BPC ve FM mimarisine adapte etmek,
BPC ve FM mod�lleriyle entegre raporlama sistemlerinin bak?m?n? yapmak, yeni raporlar ve uygulamalar i�in gerekli mimariyi tasarlamak,
B�t�e s�reci payda?lar?yla geli?im ve analiz s�re�leriyle ilgili koordinasyon sa?lamak. "
Software Developer;"So, what responsibilities does the Software Developer take on at Otoko� Otomotiv?



Write clean, testable code using C# with .NET/.NET Core,
Design and develop secure, high-performance backend systems,
Lead technology transformation in backend architecture
Stay up to date with technological advancements, discover and implement new tools and solutions
Work with authentication, authorization, and access control models,
Build and optimize APIs for seamless integration with various platforms,
Collaborate with security, DevOps, and frontend teams to deliver cutting-edge solutions,
Perform detailed requirements analysis in an agile team




What are the Required Qualifications?



Graduated from Computer Engineering or related engineering departments of universities.
At least 5 years of experience in Web Development Technologies with C#, .NET/.NET Core, Entity Framework
Strong knowledge on REST API design and consumption.
Experienced on OOP, SOLID Principles and Design Patterns.
Proficiency in RabbitMQ and Redis.
Good understanding of relational databases, data modeling and database design experience especially MS SQL.
Preferably having development experience in Docker and Kubernetes container-based solutions and Microservices application architectures.
Strong knowledge of authentication and authorization processes, able to manage authentication flows with Identity Server or Azure AD B2C.
Knowledge of monitoring tools (Using Grafana, Application Insights)
Preferably having development experience in Azure (e.g. APIM, KeyVault) to design and implement scalable and secure solutions.
Capable of analytical thinking and problem solving.
Speaking English at a level that can follow the technical literature and correspond to foreign operation users."
Data Analyst ;"Responsibilities

Examine user engagement patterns and purchase characteristics to understand player behavior and preferences within our games.
Investigate users' events to identify the elements causing frustration.
Work closely with the Marketing and Product teams to provide data-driven insights that inform strategy and decision-making processes.
Analyze how users react to new features and in-game events to evaluate their effectiveness and identify areas for improvement.


Requirements

Proficiency in data analysis tools such as SQL, R, Python, or similar.
Strong analytical skills with the ability to interpret complex data sets and translate them into actionable insights.
Excellent communication and collaboration skills to work effectively with cross-functional teams.
Passion and interest for mobile gaming industry trends and user behavior is a plus."
Business Analyst;"Bachelor�s degree in Computer Science, Information Technology Management or Engineering, or other comparable degrees,
0-1 years of work experience in relevant roles,
Fluent in English,
Contribute to a high-performing motivated workgroup by applying interpersonal communication and co-operative skills,
Knowledge and experience of Software Development Life Cycle (SDLC),
Analytical abilities, problem-solving skills and a can-do attitude,
Eager to enhance knowledge base and skills,
Ability to plan and coordinate with to-do's and manage people,
Eligible to work in Turkey"
Data Analyst;"Responsibilities

Create complex analytical SQL queries and transform raw data into structured insights
Develop and maintain daily, weekly, and monthly campaign dashboards and reports
Collaborate with product, marketing, and management teams to guide data-driven decisions
Design and interpret A/B tests to measure campaign performance and user behavior
Build predictive models to enhance user experience and optimize marketing efficiency
Monitor the accuracy and consistency of data sources, ensuring reliable decision-making
Translate findings into clear, actionable recommendations for marketing and growth teams


Requirements

Bachelor�s or Master�s degree in Engineering, Economics, Management, or a related field
2�4 years of experience in data analytics, marketing analytics
Strong analytical mindset and ability to generate insights from large datasets
Proficiency in Excel; hands-on experience with SQL
Experience working with mobile app data is a plus
Familiarity with performance marketing KPIs and campaign optimization metrics
Excellent written and verbal communication skills in English
Proactive, result-oriented, and comfortable managing multiple priorities"
Database Administrator;"Requirements:

Oracle, Microsoft SQL Server, PostgreSQL, MySQL or MongoDB database administration experience,
Oracle Exadata administration experience is a plus,
Familiarity with data replication/streaming technologies ,
Skills in database design, security and coding,
Skills in database architecture and internals,
Experience or knowledge of linux systems administration,
Knowledge of SQL and PL/SQL programming,
Knowledge of one or more scripting languages, such as Python or Perl,
Knowledge of IP networking, including security best practices, firewall rules, etc.
Qualifications: 

Bachelor�s degree in Computer Engineering or related discipline ,
Outstanding written and verbal communication skills,
Good command of written and spoken English,
Strong analytical and problem solving skills ,
Strong documentation skills,
Eager to learn new technologies and products."
Data Analyst (CRM);"QUALIFICATIONS

Bachelor's degree in Marketing, Business Analytics, or a related field.
3-5 years of experience in marketing analytics, with a focus on CRM
Advanced SQL required
Advanced verbal and written communication skills in English
Experience with Salesforce Marketing Cloud and Email marketing analytics
Excellent communication and presentation skills, with the ability to translate complex data into strategic insights.
Proficient in using data visualization tools (such as DOMO, Tableau)) to present data in a visually engaging manner
Familiarity with marketing automation tools and strategies.
Ability to work independently and in a team environment, managing multiple priorities.


RESPONSIBILITIES

Develop and enhance measurement Key Performance Indicator (KPI) frameworks for different Owned channels.
Analyze and develop CRM (Salesforce) strategies to improve customer engagement, retention, and lifetime value.
Demonstrates the ability to make informed decisions on the best methods and techniques to evaluate the impact and success of marketing initiatives.
Collaborate with marketing partners to develop effective strategies for campaign reporting and analysis.
Collaborate with cross-functional teams to integrate analytics insights into customer experience improvements and support overall business goals.
Use SQL to analyze data and determine trends, predict outcomes, and offer actionable insights.
Lead the development and implementation of A/B tests to enhance customer journey touchpoints and improve conversion rates.
Create comprehensive reports and dashboards to track marketing performance metrics.
Stay abreast of industry trends and advancements in CRM and analytics technologies."
 ?? Analisti (?? Geli?tirme);"GENEL N?TEL?KLER



�niversitelerin M�hendislik, ?statistik, Matematik, ??letme, ?ktisat ve benzeri b�l�mlerinden mezun,
Tercihen bankac?l?k �zellikle kat?l?m bankac?l???nda sekt�r deneyimi olan,
?yi derecede yaz?l? ve s�zl� ?ngilizce bilgisine sahip,
Finansal kurulu?lar?n �deme Sistemleri �r�n/?? Geli?tirme en az 5 y?l tecr�besi bulunan
EMV, 3D Secure, Kart �retim ve provizyon s�re�lerine h�kim,
Veri analizi, i? ve s�re� analizi, fonksiyonel gereksinim analizi, sistem tasar?m?, test uygulamas?, kullan?c? deneyimi konular?nda tecr�beli,
Planlama, koordinasyon, analitik d�?�nme, yap?c? ileti?im ve ��z�m odakl?l?k konular?nda y�ksek becerilere sahip,
M�?terilerden gelen bildirimleri, kullan?c? deneyimini ve beklentilerini inceleyerek inovatif ��z�mler geli?tiren,
Hayata ge�irilen projelerin performans?n? takip eden,
Hibrit �al??ma ortam?na ve dinamik �al??ma saatlerine h?zl?ca uyum sa?layan,


?? TANIMI



Kredi Kart?, Debit Kart, �n �demeli kart, Mobil C�zdan �r�nlerinin y�netilmesi, teknolojik alt yap? ihtiya�lar?n?n tespit edilmesi ve projelendirilmesi,
Yeni �r�n ve projelerle ilgili i? analizi ve fizibilite �al??malar?n? y�r�t�lmesi, kabul testlerinin yap?lmas?, pilot uygulama ve canl? ortam izleme s�re�lerinin y�netilmesi,
�deme sistemleri �r�n ve hizmetlerinin u�tan uca s�re� geli?tirme faaliyetlerinin y�r�t�lmesi,
�r�n yetkinliklerinin geli?tirilmesi amac?yla sekt�r ara?t?rmalar?n?n yap?lmas?,
�r�n raporlar?n?n geli?tirilmesi ve veri odakl? ��z�m alternatiflerinin olu?turulmas?,
BKM, Visa, Master Card, PCI gibi kural koyucu d�zenlemelerinin takibi ve uyarlanmas?,
M�?teri taleplerinin analiz edilmesi ve geli?tirme �al??malar?n? y�r�t�lmesi"
Business Analyst ;"Key Responsibilities

Business Analysis & Design

Gather, analyze, and document functional and non-functional requirements for wealth management processes (advisory, discretionary mandates, order management, client profiling, suitability/appropriateness).
Collaborate with Portfolio Management, Advisory, Compliance, and Operations teams to validate IT solutions.
Support integrations with core banking, custody platforms, brokerage engines, market-data vendors, performance/analytics systems, and regulatory reporting (MiFID II, KIDs).


Implementation & Support

Lead or support system configuration, testing cycles (SIT/UAT), and post-implementation reviews for wealth management platforms.
Provide second-line production support and troubleshooting issues across order routing, portfolio valuation, pricing, and position-keeping workflows.
Coordinate with external vendors (e.g., Avaloq, Temenos WealthSuite, FIS, Advent, Upvest APIs), data providers (Bloomberg/WM Daten, Refinitiv), and internal IT teams.


Documentation & Compliance

Maintain business process documentation, user guides, and solution design artifacts.
Ensure alignment with IT governance, wealth-specific regulations (MiFID II, ESG/SFDR), suitability rules, transaction reporting, and internal risk controls.


Qualifications

Bachelor�s degree in IT, Finance, or Engineering.
5+ years of Business Analyst experience in banking, Wealth Management, Portfolio Management, or Investment Operations.
 Strong knowledge of investment products (equities, bonds, funds/ETFs, structured products, FX) and portfolio lifecycle processes.
Experience with wealth platforms (Avaloq, Temenos, FIS, SimCorp, Advent/Black Diamond, Upvest, Trade Republic APIs, or similar).
 Skills in SQL, data analysis (Excel/Power BI), API testing tools (Postman, SoapUI), and understanding of microservices/API gateways."
Business Analyst;"Bachelor�s or Master�s degree in Computer Science, Computer Engineering, or related fields
Minimum 3 years of experience in a Business Analyst role
Hands-on experience in Mobile and Web Application projects
Knowledge of payment and money transfer systems
Familiarity with software development methodologies such as Agile and Scrum
Experience working with development teams throughout the SDLC, including planning, requirements gathering, documentation, and QA testing
Proficiency in SQL and Power BI
Experience with REST and SOAP API web services
Strong analytical thinking and effective problem-solving skills
Knowledge of UML and software documentation standards
Ability to communicate efficiently across business units, development teams, and third-party stakeholders
Proficiency in English to feel comfortable in working in a multinational environment.Analyze software processes and determine business and technical requirements
Manage, develop, and document workflows and business rules
Act as a bridge between business units and technical teams to ensure alignment and clarity
Support the execution of functional and user acceptance testing
Conduct reporting and analysis based on internal and external stakeholder needs
Collaborate with cross-functional teams to ensure timely and high-quality delivery of digital solutions
Contribute to the continuous improvement of business processes and product development lifecycle
Stay up to date with industry trends and best practices in business analysis and fintech"
Data Analyst ;"Requirements:

Bachelor�s degree in Computer Engineering, Computer Science, or Mathematics
At least 2 years of experience as a Data Scientist or Data Analyst
Strong knowledge of SQL
Strong knowledge of Python and commonly used data science , statistics, and visualization libraries (e.g., Pandas, NumPy, SciPy, Scikit-learn, Matplotlib, Seaborn)
Experience with cloud platforms such as AWS, or Google Cloud is a plus
Experience with BigQuery is a plus
Experience with Looker is a plus
Experience working with mobile app data is a plus
Strong team player with a results-oriented mindset and an analytical approach


Responsibilities:

Create complex analytical SQL queries
Work with the management and product teams to extract, interpret, and present insights from data to support their decisions
Design A/B tests and interpret the findings
Develop custom quantitative analyses, models and ad-hoc reports to support decision-making
Build predictive models to optimize user experience
Monitor and analyze model performance and accuracy
Collaborate with business and engineering teams"
Business Analyst;"Key Responsibilities

Drive cross-functional execution of multiple projects working directly with designers, developers and test engineers to conceptualize, build, test and realize product,
Manage execution of plan and scope of the project(s),
Coordinate activities of functional groups in compliance to the company goals,
Effectively contribute to project management process, including, but not limited to project scope management, project organization, resourcing, plan development and risk management,
Proactively track and communicate schedule and scope changes and escalation of project issues to internal and external stakeholders,
Work with leading corporate clients across various industries and start-up,
Craft business plans, strategic analysis, benchmarking and presentations on prospect projects.

Required Skills And Experience

3+ years experience in software product experience preferably in mobile, fintech and/or SaaS,
BS or MS degree in engineering or relevant fields,
Effective presenter, negotiator and collaborator,
Strong quantitative, analytical, and problem solving skills,
Excellent verbal, written and social communication skills,
Ability to coordinate multiple initiatives simultaneously in ever-changing environment,
A learner mindset with willingness to try new approaches, innovate, and improve,
Knowledge for analyze, process and project management tools (MS Office, Jira, Confluence etc.),
Excellent use of spreadsheets and presentation tools."
ERP Proje Yetkilisi;"?? TANIMI:
Dijital d�n�?�m s�re�lerine liderlik etmek ve projelerin tamamlanmas?n? sa?lamak,
?irketler grubu b�nyesinde bulunan mevcut i? s�re�lerini iyile?tirmek ve ihtiyaca y�nelik sistem analizlerini yaparak yeni projeler geli?tirmek,
Var olan ERP sistemlerini analiz etmek, iyile?tirmeler ve g�ncellemeler yapmak,
Yaz?l?m testleri yapmak ve kalite g�vencesi sa?lamak,
Departmanlar aras? i? birli?i i�inde olmak ve gelen talepler do?rultusunda i? s�re�lerine entegre ��z�mler sunmak,
Teknolojik trendleri takip ederek s�rekli �?renmeye ve geli?meye a�?k olmak,
?? zekas? uygulamalar? ile anlaml? istatistiki raporlar haz?rlamak,
Yenilik�i yapay zeka trendlerini ?irket s�re�lerine entegre etmeye �al??mak,
?irket bilgi gizlili?ini korumak,
Teknolojik geli?meleri yak?ndan takip etmek ve uygulamak.
 
GENEL N?TEL?KLER:
�niversitelerin End�stri M�hendisli?i, Bilgisayar M�hendisli?i b�l�mlerinden mezun,
Yaz?l?m geli?tirme alan?nda deneyimli,
Microsoft SQL Server Veri taban? y�netimi konusunda bilgi sahibi,
Veritaban? performans izleme ve optimizasyon konular?nda tecr�beli,
T-SQL ve Stored Procedure gibi SQL konular?nda bilgili,
Veritaban? g�venli?i konular?nda bilgi sahibi,
ERP sistemlerine a?ina, �zellikle Netsis ERP gibi platformlarda deneyimli,
Programlama dillerinden en az birine (C#, Java, Python vb.) hakimiyeti olan,
Analitik d�?�nme yetene?i geli?mi?, planlama ve problem ��zme becerilerine hakim,
Ekip �al??mas?na yatk?n, zaman y�netiminde ba?ar?l?,
G��l� ileti?im yetene?ine sahip,
Yapay zeka geli?melerine hakim ve g�ncel bilgileri takip eden,
Tercihen ileri seviyede ?ngilizce dil bilgisine sahip,
MS Office programlar?n? iyi derecede kullanabilen,
Proje koordine ve takip etme konusunda deneyimli."
Business Analyst, Strategy & Analytics ;"Bachelor�s degree is required. 
5+ years of experience in data analysis, analytics, or business intelligence is required. 
2+ years of experience within general consulting or an analytical operations function is required. 
Both a strong background in math, science, finance, engineering, or statistics and deep business insight is required; advanced degrees and/or MBA are a plus. 
Experience with BI tools (Tableau, Qlik, PowerBI, etc.). 
Proficiency in SQL; experience with R, Python, or MATLAB is a plus. 
Experience with exploratory data analysis, prototyping, testing hypotheses, performing root cause analyses, modeling business processes, building forecasts, creating predictive models, defining metrics, and/or measuring business performance. 
Track record of linking data and analytics to business strategy, financial performance, and operations to drive real impact. 
Working knowledge of probability and statistics, experience with process improvement is a plus. 
Ability to explain complex issues simply and intuitively, and willingness to challenge assumptions, communicate limitations, and flag blind spots. 
The ideal candidate needs to have a strong technical background particularly when it comes to data infrastructure and Google products while having the ability to master business processes of diverse nature. 
Outstanding written and verbal communication skills. 
Ability to work in a fast-paced, rapidly growing company and handle a wide variety of challenges, deadlines, and a diverse array of contacts. 
You must be a world-class individual contributor to thrive at Toptal. You will not be here just to tell other people what to do. "
Business Analyst ;"Qualifications & Requirements



Bachelor's degree on related fields, masters� degree is a plus,
Minimum 4 years experienced,
Topnotch understanding on computer software systems, database systems, data modelling & SQL, system analysis & design principles,
Fluent in English, quick learner and team player,
Hands on experience in SQL, relational database management knowledge is a plus,
Wanting to be a member of an agile team, agile oriented; focused on delivery and customer first,
Strong, creative and innovative problem-solving skills, adaptable, proactive and always willing to take ownership,
Strong interpersonal and teamwork skills,
Ability to work collaboratively to resolve issues,
Ability to work across functions.


Job Description



Responsible for designing and developing CRM tool as a LaaS (Loyalty as a service) software studies by adapting to agile methodologies,
Business design in line with business demands,
Analyses customer demands,
Designs cutting edge technology solutions for fulfilling user demands,
Supports software development teams by clear system specifications and business process definitions,
Works collaboratively across business and IT departments to understand common goals and develops high quality communication,
Manages the system, integration and user acceptance tests,
Ensuring the development and commissioning of the designed works within the planned time frame, within the determined scope, without errors, in a working manner,
Learning all the processes of the subject with a detailed approach in application changes that require sector knowledge and developing software in this direction,
Developing a common language between technical teams in multi-unit studies and representing the software team on behalf of the work to be done."
Business Analyst;"At least 10 years of experience in Business Analysis or related fields
Result driven mindset with an exceptional personality with great verbal, written, and visual communication skills
Advanced analytical skills, experienced in collecting, organizing, analyzing abundant data, and disseminate them as meaningful information
Strong analytical mind and advanced problem-solving skills
Ability to deal with ambiguity and change
Basic knowledge of query languages, preferably SQL
Good knowledge of business analysis processes and methodologies
Hands on experience in analysis techniques such as; use case modeling, data analysis, process analysis, prioritization, requirement management, risk assessment, stakeholder analysis, responsibility analysis, and interface analysis
Familiar with project management aspects and methodologies
Professionally experienced in Waterfall, Agile/Scrum, Release Management methodologies
Ability to manage complex projects composed of priority shifting tasks, strict budgets and firm deadlines by employing effective methods
Knowledge of integration processes from business requirements collection to technical analysis delivery
Capable of resolving challenges arising within or outside of the organization concerning the Project
Experience in crew planing
IIBA or equivalent is a plus
Minimum Bachelor�s Degree at related fields
Good command of the English language"
ERP Uzman?;"Genel Nitelikler

�niversitelerin End�stri M�hendisli?i, Bilgisayar M�hendisli?i, Yaz?l?m M�hendisli?i, Matematik, ?statistik veya Y�netim Bili?im Sistemleri b�l�mlerinden mezun,
?lgili alanda en az 4 y?l deneyimli,
Analitik d�?�nme becerileri geli?mi? ve problem ��zme odakl?,
S�zl� ve yaz?l? ileti?im kabiliyeti g��l�, tak?m �al??mas?na yatk?n,
IAS CANIAS ERP konusunda tecr�beli,
Canias Troia uyarlama ve yaz?l?m geli?tirme konusunda deneyimli,
SQL ve veritaban? y�netimi konular?nda bilgili,
Yo?un ve dinamik �al??ma temposuna uyum sa?layabilen,
Erkek adaylar i�in askerlik hizmetini tamamlam??."
Data Analyst;"Analyze user behavior and funnel performance to uncover growth opportunities
Design and evaluate A/B tests to optimize acquisition, activation and retention
Work with product, engineering, and marketing teams to track experiments and implement learnings
Segment user bases to support personalized campaigns and lifecycle strategies
Contribute to growth models and forecasting for planning purposes
Translate business problems into analytical solutions and communicate findings to stakeholders.2+ years of experience in analytics, growth, data, marketing or product-related roles
Strong SQL skills � you love digging into data and writing clean, performant queries
Python/R skills for deeper analysis or modeling
Comfort with experimentation frameworks and A/B testing methodologies
Excellent problem-solving and storytelling skills
Bonus: Experience with BI tools (e.g., Looker, Tableau, Quicksight)
Bonus: Experience in a B2C, mobile app or marketplace environment"
